id,title,description,reported_at,department_name,institution_name,hazard_category,severity_level,recurrence_count,is_weekend,actual_outcome
2c03e4b6-eac1-4e0e-95ab-360d7ebbf8fd,Loose carpet in office near east wing (Room 165),I'm concerned about this.,2026-04-22 00:00:00,Assembly Line,Rwanda Manufacturing Co,Slip/Trip/Fall,High,11,0,1
7f573f61-72cb-49de-9dcb-d33326c9b881,Unlabeled lubricant container at loading bay (Room 112),Report issued by supervisor. The unlabeled lubricant container at loading bay (room 112) has been reported by multiple staff members. Recommend immediate repair.,2023-12-10 00:00:00,Sanitation,Rubavu Logistics Hub,Chemical,High,4,1,0
06285fd8-0883-405e-95b8-8aad37f61a4f,Faulty fire extinguisher in break room (Room 135),"During a walkthrough, staff noticed the faulty fire extinguisher in break room (room 135). No immediate incident occurred but the potential for harm is significant.",2023-09-07 00:00:00,Transport,Gasabo Textile Factory,Fire,Critical,0,0,1
8f3fc89c-f9f2-4a18-8afe-73b3e3eb5aed,Sparks observed from hand truck in storage room (Room 109),The sparks observed from hand truck in storage room (room 109) was observed during routine inspection. This presents a potential risk to staff in the area.,2026-05-06 00:00:00,Packaging,Bugesera Cement Works,Electrical,Critical,7,0,1
a21e396e-cb04-497d-90a5-fe55a0507d4e,Awkward lifting position at main lobby in server room (Sector C),Follow-up required on the awkward lifting position at main lobby in server room (sector c). The danger is rated as high due to proximity to staff.,2026-02-16 00:00:00,Sanitation,Kigali Construction Ltd,Ergonomic,High,2,0,0
0676dec4-1130-4d39-82b9-363ece7a8085,Loose tiles in production floor near control panel (Zone 6),I'm concerned about this.,2024-07-06 00:00:00,Laboratory,Muhanga Agro-Processing,Slip/Trip/Fall,High,3,1,0
0a80cf53-d7b5-4dc2-9526-207afce88fe7,Fungal spread in canteen near basement (Room 119),Report issued by team lead. The fungal spread in canteen near basement (room 119) has been reported by multiple staff members. Recommend further assessment.,2024-07-27 00:00:00,Packaging,Nyagatare Cattle Ranch,Biological,Medium,0,1,1
b15a18db-d78c-4ba8-9d36-129e32ab81b9,Unsafe operation of crane in chemical storage (Room 114),The unsafe operation of crane in chemical storage (room 114) was observed during routine inspection. This presents a potential risk to staff in the department.,2024-08-22 00:00:00,Sanitation,Muhanga Agro-Processing,Machinery,High,0,0,1
77a55fa1-d41e-4802-9e4d-75567b93957b,Accumulated flammable material near printer (Room 160),"During a walkthrough, staff noticed the accumulated flammable material near printer (room 160). No immediate incident occurred but the potential for harm is significant.",2024-02-26 00:00:00,Quality Control,Musanze Mining Corp,Fire,Critical,4,0,0
99e77e5e-46ce-4379-af15-32559fea6b57,Unlabeled pesticides container at rooftop (Room 123),Report issued by employee. The unlabeled pesticides container at rooftop (room 123) has been reported by multiple staff members. Recommend temporary closure.,2024-01-21 00:00:00,Workshop,Muhanga Agro-Processing,Chemical,High,2,1,0
f37fb9fa-f367-40d7-8126-b34e3c36f8cc,Exposed gear on air conditioner in canteen (Room 176),Report issued by safety rep. The exposed gear on air conditioner in canteen (room 176) has been reported by multiple staff members. Recommend review by safety team.,2023-03-23 00:00:00,Warehouse,Nyagatare Cattle Ranch,Electrical,Critical,1,0,1
2894cf80-9c74-41c0-bd0e-50156715b54c,Improper storage of paint thinner in cafeteria (Room 106),"During a walkthrough, staff noticed the improper storage of paint thinner in cafeteria (room 106). No immediate incident occurred but the potential for damage is significant.",2025-02-02 00:00:00,Storage Facility,Rubavu Logistics Hub,Chemical,Critical,1,1,0
191bf51d-6375-4cc4-bbac-9fd01f9a4cdd,Exposed plug on compressor at main corridor (Room 125),Follow-up required on the exposed plug on compressor at main corridor (room 125). The danger is rated as high due to lack of protection.,2024-10-15 00:00:00,Production,Muhanga Agro-Processing,Machinery,High,3,0,1
bca19f48-7f75-4d58-9d3e-8af082820049,Hazard observed,Report issued by employee. The hazard observed has been reported by multiple staff members. Recommend temporary closure.,2024-11-01 00:00:00,Storage Facility,Kigali Construction Ltd,Chemical,Medium,2,0,0
39b1133b-b25a-4ef5-a02f-5dbb846e1f73,Spill of epoxy near chemical storage (Zone 9),Follow-up required on the spill of epoxy near chemical storage (zone 9). The severity is rated as medium due to lack of protection.,2026-04-25 00:00:00,Kitchen,Rubavu Logistics Hub,Chemical,Medium,4,1,1
c66b6152-0990-4af3-9616-59373420c3cf,Spoiled materials found in chemical storage (Room 153),Follow-up required on the spoiled materials found in chemical storage (room 153). The danger is rated as high due to exposure levels.,2023-04-24 00:00:00,Assembly Line,Rubavu Logistics Hub,Biological,High,4,0,0
b32ae72b-92cf-458f-937c-efa47b07cdec,Accumulated flammable material near air conditioner (Room 162),This needs fixing urgently.,2024-12-18 00:00:00,Assembly Line,Rwanda Manufacturing Co,Fire,High,1,0,1
276b8631-3e93-422d-b921-fa25174e977c,Improper desk height for power drill in production floor (Zone 11),Report issued by employee. The improper desk height for power drill in production floor (zone 11) has been reported by multiple staff members. Recommend further assessment.,2023-06-20 00:00:00,Storage Facility,Muhanga Agro-Processing,Ergonomic,Low,13,0,1
a2cbb8b5-32d7-4eca-afe6-ad65ec5aa4a7,Repetitive strain risk operating transformer at Station 15,Report issued by employee. The improper desk height for grinder in canteen (room 191) has been reported by multiple staff members. Recommend review by safety team.,2024-12-11 00:00:00,Quality Control,Rubavu Logistics Hub,Ergonomic,Medium,0,0,0
0c71f1e3-34ba-4c9c-ae39-88b689acddf3,Improper storage of epoxy in maintenance bay (Room 117),The improper storage of epoxy in maintenance bay (room 117) was observed during routine inspection. This presents a potential risk to staff in the department.,2023-10-21 00:00:00,Assembly Line,RSSB Head Office,Chemical,High,2,1,1
0f7e9ddc-f67a-4a7d-8bdf-157ef49179bb,Exposed casing on generator at receiving dock (Room 116),The exposed casing on generator at receiving dock (room 116) was observed during routine inspection. This presents a potential risk to staff in the area.,2023-05-09 00:00:00,Packaging,Nyagatare Cattle Ranch,Machinery,Medium,0,0,0
32d57af1-1bec-4c55-a3ff-a56df299e78a,Unlabeled pesticides container at south wing (Zone 12),The unlabeled pesticides container at south wing (zone 12) was observed during routine inspection. This presents a potential risk to staff in the area.,2023-09-19 00:00:00,Warehouse,RSSB Head Office,Chemical,Critical,2,0,0
3c1d60b3-418a-42f0-86d7-ee5fb7aace48,Damaged power cord on computer at rooftop (Room 115),"During a walkthrough, staff noticed the damaged power cord on computer at rooftop (room 115). No immediate incident occurred but the potential for injury is significant.",2023-01-07 00:00:00,Storage Facility,Musanze Mining Corp,Electrical,High,3,1,0
a04862e6-006c-4ee5-b2df-53d4963961e9,Overloaded power outlet near Station 15 (Sector H),The overloaded power outlet near station 15 (sector h) was observed during routine inspection. This presents a potential risk to staff in the building.,2024-01-26 00:00:00,Maintenance,Rwanda Manufacturing Co,Electrical,High,6,0,0
7406e671-10ee-4518-8013-6a1d2b997f4f,Cluttered floor space around server rack at south wing,Report issued by safety rep. The cluttered floor space around server rack at south wing has been reported by multiple staff members. Recommend further assessment.,2023-01-29 00:00:00,Laboratory,RSSB Head Office,Slip/Trip/Fall,Low,0,1,0
5023fe54-8e55-43c5-a466-a83bae57ea52,Accumulated flammable material near hand truck (Room 121),The accumulated flammable material near hand truck (room 121) was observed during routine inspection. This presents a potential risk to staff in the building.,2024-12-18 00:00:00,Quality Control,Huye Power Plant,Fire,Critical,3,0,1
f533d4c2-cc0c-444e-9813-4a5ea4a91f3a,Improper storage of bleach in maintenance bay (Room 196),,2025-08-24 00:00:00,Office Complex,Rubavu Logistics Hub,Chemical,Critical,1,1,0
